country,flag,dbpedia1,wiki1
Κεντροαφρικανική Δημοκρατία,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Central_African_Republic.svg/200px-Flag_of_the_Central_African_Republic.svg.png,http://el.dbpedia.org/resource/Κεντροαφρικανική_Δημοκρατία,http://el.wikipedia.org/wiki/%CE%9A%CE%B5%CE%BD%CF%84%CF%81%CE%BF%CE%B1%CF%86%CF%81%CE%B9%CE%BA%CE%B1%CE%BD%CE%B9%CE%BA%CE%AE_%CE%94%CE%B7%CE%BC%CE%BF%CE%BA%CF%81%CE%B1%CF%84%CE%AF%CE%B1
Τουρκική Δημοκρατία της Βόρειας Κύπρου,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Flag_of_the_Turkish_Republic_of_Northern_Cyprus.svg/200px-Flag_of_the_Turkish_Republic_of_Northern_Cyprus.svg.png,http://el.dbpedia.org/resource/Τουρκική_Δημοκρατία_της_Βόρειας_Κύπρου,http://el.wikipedia.org/wiki/%CE%A4%CE%BF%CF%85%CF%81%CE%BA%CE%B9%CE%BA%CE%AE_%CE%94%CE%B7%CE%BC%CE%BF%CE%BA%CF%81%CE%B1%CF%84%CE%AF%CE%B1_%CF%84%CE%B7%CF%82_%CE%92%CF%8C%CF%81%CE%B5%CE%B9%CE%B1%CF%82_%CE%9A%CF%8D%CF%80%CF%81%CE%BF%CF%85
Ομόσπονδες Πολιτείες της Μικρονησίας,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Federated_States_of_Micronesia.svg/200px-Flag_of_Federated_States_of_Micronesia.svg.png,http://el.dbpedia.org/resource/Ομόσπονδες_Πολιτείες_της_Μικρονησίας,http://el.wikipedia.org/wiki/%CE%9F%CE%BC%CF%8C%CF%83%CF%80%CE%BF%CE%BD%CE%B4%CE%B5%CF%82_%CE%A0%CE%BF%CE%BB%CE%B9%CF%84%CE%B5%CE%AF%CE%B5%CF%82_%CF%84%CE%B7%CF%82_%CE%9C%CE%B9%CE%BA%CF%81%CE%BF%CE%BD%CE%B7%CF%83%CE%AF%CE%B1%CF%82
Ομοφυλοφιλικό και Λεσβιακό Βασίλειο των Νησιών της Θάλασσας των Κοραλλίων,http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Gay_flag.svg/200px-Gay_flag.svg.png,http://el.dbpedia.org/resource/Ομοφυλοφιλικό_και_Λεσβιακό_Βασίλειο_των_Νησιών_της_Θάλασσας_των_Κοραλλίων,http://el.wikipedia.org/wiki/%CE%9F%CE%BC%CE%BF%CF%86%CF%85%CE%BB%CE%BF%CF%86%CE%B9%CE%BB%CE%B9%CE%BA%CF%8C_%CE%BA%CE%B1%CE%B9_%CE%9B%CE%B5%CF%83%CE%B2%CE%B9%CE%B1%CE%BA%CF%8C_%CE%92%CE%B1%CF%83%CE%AF%CE%BB%CE%B5%CE%B9%CE%BF_%CF%84%CF%89%CE%BD_%CE%9D%CE%B7%CF%83%CE%B9%CF%8E%CE%BD_%CF%84%CE%B7%CF%82_%CE%98%CE%AC%CE%BB%CE%B1%CF%83%CF%83%CE%B1%CF%82_%CF%84%CF%89%CE%BD_%CE%9A%CE%BF%CF%81%CE%B1%CE%BB%CE%BB%CE%AF%CF%89%CE%BD
’γιος Βικέντιος και Γρεναδίνες,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Flag_of_Saint_Vincent_and_the_Grenadines.svg/200px-Flag_of_Saint_Vincent_and_the_Grenadines.svg.png,http://el.dbpedia.org/resource/’γιος_Βικέντιος_και_Γρεναδίνες,http://el.wikipedia.org/wiki/%CE%86%CE%B3%CE%B9%CE%BF%CF%82_%CE%92%CE%B9%CE%BA%CE%AD%CE%BD%CF%84%CE%B9%CE%BF%CF%82_%CE%BA%CE%B1%CE%B9_%CE%93%CF%81%CE%B5%CE%BD%CE%B1%CE%B4%CE%AF%CE%BD%CE%B5%CF%82
’γιος Βαρθολομαίος,http://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_Saint_Barthelemy_%28local%29.svg/200px-Flag_of_Saint_Barthelemy_%28local%29.svg.png,http://el.dbpedia.org/resource/’γιος_Βαρθολομαίος,http://el.wikipedia.org/wiki/%CE%86%CE%B3%CE%B9%CE%BF%CF%82_%CE%92%CE%B1%CF%81%CE%B8%CE%BF%CE%BB%CE%BF%CE%BC%CE%B1%CE%AF%CE%BF%CF%82
’γιος Ευστάθιος,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Flag_of_Sint_Eustatius.svg/200px-Flag_of_Sint_Eustatius.svg.png,http://el.dbpedia.org/resource/’γιος_Ευστάθιος,http://el.wikipedia.org/wiki/%CE%86%CE%B3%CE%B9%CE%BF%CF%82_%CE%95%CF%85%CF%83%CF%84%CE%AC%CE%B8%CE%B9%CE%BF%CF%82
’γιος Μαρίνος,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_San_Marino.svg/200px-Flag_of_San_Marino.svg.png,http://el.dbpedia.org/resource/’γιος_Μαρίνος,http://el.wikipedia.org/wiki/%CE%86%CE%B3%CE%B9%CE%BF%CF%82_%CE%9C%CE%B1%CF%81%CE%AF%CE%BD%CE%BF%CF%82
’γιος Μαρτίνος (Ολλανδία),http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Sint_Maarten.svg/200px-Flag_of_Sint_Maarten.svg.png,http://el.dbpedia.org/resource/’γιος_Μαρτίνος_(Ολλανδία),http://el.wikipedia.org/wiki/%CE%86%CE%B3%CE%B9%CE%BF%CF%82_%CE%9C%CE%B1%CF%81%CF%84%CE%AF%CE%BD%CE%BF%CF%82_%28%CE%9F%CE%BB%CE%BB%CE%B1%CE%BD%CE%B4%CE%AF%CE%B1%29
Ώλαντ,http://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_%C3%85land.svg/200px-Flag_of_%C3%85land.svg.png,http://el.dbpedia.org/resource/Ώλαντ,http://el.wikipedia.org/wiki/%CE%8F%CE%BB%CE%B1%CE%BD%CF%84
Αίγυπτος,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/200px-Flag_of_Egypt.svg.png,http://el.dbpedia.org/resource/Αίγυπτος,http://el.wikipedia.org/wiki/%CE%91%CE%AF%CE%B3%CF%85%CF%80%CF%84%CE%BF%CF%82
Αγία Λουκία,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Saint_Lucia.svg/200px-Flag_of_Saint_Lucia.svg.png,http://el.dbpedia.org/resource/Αγία_Λουκία,http://el.wikipedia.org/wiki/%CE%91%CE%B3%CE%AF%CE%B1_%CE%9B%CE%BF%CF%85%CE%BA%CE%AF%CE%B1
Αγγλία,http://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Flag_of_England.svg/200px-Flag_of_England.svg.png,http://el.dbpedia.org/resource/Αγγλία,http://el.wikipedia.org/wiki/%CE%91%CE%B3%CE%B3%CE%BB%CE%AF%CE%B1
Αγκόλα,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/200px-Flag_of_Angola.svg.png,http://el.dbpedia.org/resource/Αγκόλα,http://el.wikipedia.org/wiki/%CE%91%CE%B3%CE%BA%CF%8C%CE%BB%CE%B1
Αζερμπαϊτζάν,http://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/200px-Flag_of_Azerbaijan.svg.png,http://el.dbpedia.org/resource/Αζερμπαϊτζάν,http://el.wikipedia.org/wiki/%CE%91%CE%B6%CE%B5%CF%81%CE%BC%CF%80%CE%B1%CF%8A%CF%84%CE%B6%CE%AC%CE%BD
Αζόρες,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Flag_of_the_Azores.svg/200px-Flag_of_the_Azores.svg.png,http://el.dbpedia.org/resource/Αζόρες,http://el.wikipedia.org/wiki/%CE%91%CE%B6%CF%8C%CF%81%CE%B5%CF%82
Αιθιοπία,http://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Flag_of_Ethiopia.svg/200px-Flag_of_Ethiopia.svg.png,http://el.dbpedia.org/resource/Αιθιοπία,http://el.wikipedia.org/wiki/%CE%91%CE%B9%CE%B8%CE%B9%CE%BF%CF%80%CE%AF%CE%B1
Ακτή Ελεφαντοστού,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Flag_of_Cote_d%27Ivoire.svg/200px-Flag_of_Cote_d%27Ivoire.svg.png,http://el.dbpedia.org/resource/Ακτή_Ελεφαντοστού,http://el.wikipedia.org/wiki/%CE%91%CE%BA%CF%84%CE%AE_%CE%95%CE%BB%CE%B5%CF%86%CE%B1%CE%BD%CF%84%CE%BF%CF%83%CF%84%CE%BF%CF%8D
Αλβανία,http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/200px-Flag_of_Albania.svg.png,http://el.dbpedia.org/resource/Αλβανία,http://el.wikipedia.org/wiki/%CE%91%CE%BB%CE%B2%CE%B1%CE%BD%CE%AF%CE%B1
Αλγερία,http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/200px-Flag_of_Algeria.svg.png,http://el.dbpedia.org/resource/Αλγερία,http://el.wikipedia.org/wiki/%CE%91%CE%BB%CE%B3%CE%B5%CF%81%CE%AF%CE%B1
Αμερικανική Σαμόα,http://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_American_Samoa.svg/200px-Flag_of_American_Samoa.svg.png,http://el.dbpedia.org/resource/Αμερικανική_Σαμόα,http://el.wikipedia.org/wiki/%CE%91%CE%BC%CE%B5%CF%81%CE%B9%CE%BA%CE%B1%CE%BD%CE%B9%CE%BA%CE%AE_%CE%A3%CE%B1%CE%BC%CF%8C%CE%B1
Ανατολικό Τιμόρ,http://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Flag_of_East_Timor.svg/200px-Flag_of_East_Timor.svg.png,http://el.dbpedia.org/resource/Ανατολικό_Τιμόρ,http://el.wikipedia.org/wiki/%CE%91%CE%BD%CE%B1%CF%84%CE%BF%CE%BB%CE%B9%CE%BA%CF%8C_%CE%A4%CE%B9%CE%BC%CF%8C%CF%81
Ανγκουίλα,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Anguilla.svg/200px-Flag_of_Anguilla.svg.png,http://el.dbpedia.org/resource/Ανγκουίλα,http://el.wikipedia.org/wiki/%CE%91%CE%BD%CE%B3%CE%BA%CE%BF%CF%85%CE%AF%CE%BB%CE%B1
Ανδόρρα,http://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/200px-Flag_of_Andorra.svg.png,http://el.dbpedia.org/resource/Ανδόρρα,http://el.wikipedia.org/wiki/%CE%91%CE%BD%CE%B4%CF%8C%CF%81%CF%81%CE%B1
Αντίγκουα και Μπαρμπούντα,http://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Antigua_and_Barbuda.svg/200px-Flag_of_Antigua_and_Barbuda.svg.png,http://el.dbpedia.org/resource/Αντίγκουα_και_Μπαρμπούντα,http://el.wikipedia.org/wiki/%CE%91%CE%BD%CF%84%CE%AF%CE%B3%CE%BA%CE%BF%CF%85%CE%B1_%CE%BA%CE%B1%CE%B9_%CE%9C%CF%80%CE%B1%CF%81%CE%BC%CF%80%CE%BF%CF%8D%CE%BD%CF%84%CE%B1
Αργεντινή,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/200px-Flag_of_Argentina.svg.png,http://el.dbpedia.org/resource/Αργεντινή,http://el.wikipedia.org/wiki/%CE%91%CF%81%CE%B3%CE%B5%CE%BD%CF%84%CE%B9%CE%BD%CE%AE
Αρμενία,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/200px-Flag_of_Armenia.svg.png,http://el.dbpedia.org/resource/Αρμενία,http://el.wikipedia.org/wiki/%CE%91%CF%81%CE%BC%CE%B5%CE%BD%CE%AF%CE%B1
Αρούμπα,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Aruba.svg/200px-Flag_of_Aruba.svg.png,http://el.dbpedia.org/resource/Αρούμπα,http://el.wikipedia.org/wiki/%CE%91%CF%81%CE%BF%CF%8D%CE%BC%CF%80%CE%B1
Αυστρία,http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/200px-Flag_of_Austria.svg.png,http://el.dbpedia.org/resource/Αυστρία,http://el.wikipedia.org/wiki/%CE%91%CF%85%CF%83%CF%84%CF%81%CE%AF%CE%B1
Αυστραλία,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Australia.svg/200px-Flag_of_Australia.svg.png,http://el.dbpedia.org/resource/Αυστραλία,http://el.wikipedia.org/wiki/%CE%91%CF%85%CF%83%CF%84%CF%81%CE%B1%CE%BB%CE%AF%CE%B1
Αφγανιστάν,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/200px-Flag_of_Afghanistan.svg.png,http://el.dbpedia.org/resource/Αφγανιστάν,http://el.wikipedia.org/wiki/%CE%91%CF%86%CE%B3%CE%B1%CE%BD%CE%B9%CF%83%CF%84%CE%AC%CE%BD
Αϊτή,http://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Haiti.svg/200px-Flag_of_Haiti.svg.png,http://el.dbpedia.org/resource/Αϊτή,http://el.wikipedia.org/wiki/%CE%91%CF%8A%CF%84%CE%AE
Βέλγιο,http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Belgium.svg/200px-Flag_of_Belgium.svg.png,http://el.dbpedia.org/resource/Βέλγιο,http://el.wikipedia.org/wiki/%CE%92%CE%AD%CE%BB%CE%B3%CE%B9%CE%BF
Βανουάτου,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Vanuatu.svg/200px-Flag_of_Vanuatu.svg.png,http://el.dbpedia.org/resource/Βανουάτου,http://el.wikipedia.org/wiki/%CE%92%CE%B1%CE%BD%CE%BF%CF%85%CE%AC%CF%84%CE%BF%CF%85
Βασίλειο της Σαρδηνίας,http://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Flag_of_Kingdom_of_Sardinia_%281848%29.svg/200px-Flag_of_Kingdom_of_Sardinia_%281848%29.svg.png,http://el.dbpedia.org/resource/Βασίλειο_της_Σαρδηνίας,http://el.wikipedia.org/wiki/%CE%92%CE%B1%CF%83%CE%AF%CE%BB%CE%B5%CE%B9%CE%BF_%CF%84%CE%B7%CF%82_%CE%A3%CE%B1%CF%81%CE%B4%CE%B7%CE%BD%CE%AF%CE%B1%CF%82
Βατικανό,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_the_Vatican_City.svg/200px-Flag_of_the_Vatican_City.svg.png,http://el.dbpedia.org/resource/Βατικανό,http://el.wikipedia.org/wiki/%CE%92%CE%B1%CF%84%CE%B9%CE%BA%CE%B1%CE%BD%CF%8C
Βαυαρία,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Flag_of_Bavaria_%28striped%29.svg/200px-Flag_of_Bavaria_%28striped%29.svg.png,http://el.dbpedia.org/resource/Βαυαρία,http://el.wikipedia.org/wiki/%CE%92%CE%B1%CF%85%CE%B1%CF%81%CE%AF%CE%B1
Βενεζουέλα,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Venezuela_%28state%29.svg/200px-Flag_of_Venezuela_%28state%29.svg.png,http://el.dbpedia.org/resource/Βενεζουέλα,http://el.wikipedia.org/wiki/%CE%92%CE%B5%CE%BD%CE%B5%CE%B6%CE%BF%CF%85%CE%AD%CE%BB%CE%B1
Βερμούδες,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bermuda.svg/200px-Flag_of_Bermuda.svg.png,http://el.dbpedia.org/resource/Βερμούδες,http://el.wikipedia.org/wiki/%CE%92%CE%B5%CF%81%CE%BC%CE%BF%CF%8D%CE%B4%CE%B5%CF%82
Βιετνάμ,http://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Vietnam.svg/200px-Flag_of_Vietnam.svg.png,http://el.dbpedia.org/resource/Βιετνάμ,http://el.wikipedia.org/wiki/%CE%92%CE%B9%CE%B5%CF%84%CE%BD%CE%AC%CE%BC
Βολιβία,http://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Bolivia.svg/200px-Flag_of_Bolivia.svg.png,http://el.dbpedia.org/resource/Βολιβία,http://el.wikipedia.org/wiki/%CE%92%CE%BF%CE%BB%CE%B9%CE%B2%CE%AF%CE%B1
Βοσνία και Ερζεγοβίνη,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bosnia_and_Herzegovina.svg/200px-Flag_of_Bosnia_and_Herzegovina.svg.png,http://el.dbpedia.org/resource/Βοσνία_και_Ερζεγοβίνη,http://el.wikipedia.org/wiki/%CE%92%CE%BF%CF%83%CE%BD%CE%AF%CE%B1_%CE%BA%CE%B1%CE%B9_%CE%95%CF%81%CE%B6%CE%B5%CE%B3%CE%BF%CE%B2%CE%AF%CE%BD%CE%B7
Βουλγαρία,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/200px-Flag_of_Bulgaria.svg.png,http://el.dbpedia.org/resource/Βουλγαρία,http://el.wikipedia.org/wiki/%CE%92%CE%BF%CF%85%CE%BB%CE%B3%CE%B1%CF%81%CE%AF%CE%B1
Βοϊβοντίνα,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Flag_of_Vojvodina.svg/200px-Flag_of_Vojvodina.svg.png,http://el.dbpedia.org/resource/Βοϊβοντίνα,http://el.wikipedia.org/wiki/%CE%92%CE%BF%CF%8A%CE%B2%CE%BF%CE%BD%CF%84%CE%AF%CE%BD%CE%B1
Βραζιλία,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Brazil.svg/200px-Flag_of_Brazil.svg.png,http://el.dbpedia.org/resource/Βραζιλία,http://el.wikipedia.org/wiki/%CE%92%CF%81%CE%B1%CE%B6%CE%B9%CE%BB%CE%AF%CE%B1
Βρετανικές Παρθένοι Νήσοι,http://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Flag_of_the_British_Virgin_Islands.svg/200px-Flag_of_the_British_Virgin_Islands.svg.png,http://el.dbpedia.org/resource/Βρετανικές_Παρθένοι_Νήσοι,http://el.wikipedia.org/wiki/%CE%92%CF%81%CE%B5%CF%84%CE%B1%CE%BD%CE%B9%CE%BA%CE%AD%CF%82_%CE%A0%CE%B1%CF%81%CE%B8%CE%AD%CE%BD%CE%BF%CE%B9_%CE%9D%CE%AE%CF%83%CE%BF%CE%B9
Βρετανική Αυτοκρατορία,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Flag_of_the_United_Kingdom.svg/200px-Flag_of_the_United_Kingdom.svg.png,http://el.dbpedia.org/resource/Βρετανική_Αυτοκρατορία,http://el.wikipedia.org/wiki/%CE%92%CF%81%CE%B5%CF%84%CE%B1%CE%BD%CE%B9%CE%BA%CE%AE_%CE%91%CF%85%CF%84%CE%BF%CE%BA%CF%81%CE%B1%CF%84%CE%BF%CF%81%CE%AF%CE%B1
Βόρεια Ιρλανδία,http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Ulster_banner.svg/200px-Ulster_banner.svg.png,http://el.dbpedia.org/resource/Βόρεια_Ιρλανδία,http://el.wikipedia.org/wiki/%CE%92%CF%8C%CF%81%CE%B5%CE%B9%CE%B1_%CE%99%CF%81%CE%BB%CE%B1%CE%BD%CE%B4%CE%AF%CE%B1
Βόρεια Κορέα,http://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_North_Korea.svg/200px-Flag_of_North_Korea.svg.png,http://el.dbpedia.org/resource/Βόρεια_Κορέα,http://el.wikipedia.org/wiki/%CE%92%CF%8C%CF%81%CE%B5%CE%B9%CE%B1_%CE%9A%CE%BF%CF%81%CE%AD%CE%B1
Βόρειες Μαριάνες Νήσοι,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Flag_of_the_Northern_Mariana_Islands.svg/200px-Flag_of_the_Northern_Mariana_Islands.svg.png,http://el.dbpedia.org/resource/Βόρειες_Μαριάνες_Νήσοι,http://el.wikipedia.org/wiki/%CE%92%CF%8C%CF%81%CE%B5%CE%B9%CE%B5%CF%82_%CE%9C%CE%B1%CF%81%CE%B9%CE%AC%CE%BD%CE%B5%CF%82_%CE%9D%CE%AE%CF%83%CE%BF%CE%B9
Γαλλία,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/200px-Flag_of_France.svg.png,http://el.dbpedia.org/resource/Γαλλία,http://el.wikipedia.org/wiki/%CE%93%CE%B1%CE%BB%CE%BB%CE%AF%CE%B1
Γαλλική Γουιάνα,http://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_French_Guiana.svg/200px-Flag_of_French_Guiana.svg.png,http://el.dbpedia.org/resource/Γαλλική_Γουιάνα,http://el.wikipedia.org/wiki/%CE%93%CE%B1%CE%BB%CE%BB%CE%B9%CE%BA%CE%AE_%CE%93%CE%BF%CF%85%CE%B9%CE%AC%CE%BD%CE%B1
